site,match_category_corrected,size_W,size_L,morphology,blank_type,filename,total_values,volume,subsample_rate,total_N,total_MDA,corrected_N,N_per_L
M4,Polypropylene,50-100,<50,fiber/filament,H2O2,Results_Mekong6_Feb2222_HVS_100um_derivative_beta_T0.7_results.csv,1,42,0.2,5,0,5,0.11904761904761904
M4,Rubber,<50,100-200,fiber/filament,H2O2,Results_Mekong6_Feb2222_HVS_100um_derivative_beta_T0.7_results.csv,1,42,0.2,5,0,5,0.11904761904761904
M4,Rubber,<50,50-100,fragment,H2O2,Results_Mekong6_Feb2222_HVS_100um_derivative_beta_T0.7_results.csv,1,42,0.2,5,0,5,0.11904761904761904
M5,Other plastic,50-100,100-200,film,H2O2,Mekong5_feb2122_HVS_T0.7_results.csv,1,65,0.2,5,0,5,0.07692307692307693
M5,Other plastic,50-100,50-100,film,H2O2,Mekong5_feb2122_HVS_T0.7_results.csv,1,65,0.2,5,0,5,0.07692307692307693
M5,Other plastic,50-100,50-100,fragment,H2O2,Mekong5_feb2122_HVS_T0.7_results.csv,2,65,0.2,10,7.065590154895206,2.9344098451047937,0.045144766847766055
M5,Other plastic,<50,100-200,fiber/filament,H2O2,Mekong5_feb2122_HVS_T0.7_results.csv,5,65,0.2,25,3.3333333333333335,21.666666666666668,0.33333333333333337
M5,Other plastic,<50,200-300,fiber/filament,H2O2,Mekong5_feb2122_HVS_T0.7_results.csv,4,65,0.2,20,3.3333333333333335,16.666666666666668,0.25641025641025644
M5,Other plastic,<50,50-100,fiber/filament,H2O2,Mekong5_feb2122_HVS_T0.7_results.csv,12,65,0.2,60,3.3333333333333335,56.666666666666664,0.8717948717948718
M5,Other plastic,<50,50-100,film,H2O2,Mekong5_feb2122_HVS_T0.7_results.csv,1,65,0.2,5,0,5,0.07692307692307693
M5,Other plastic,<50,50-100,fragment,H2O2,Mekong5_feb2122_HVS_T0.7_results.csv,5,65,0.2,25,7.065590154895206,17.934409845104796,0.27591399761699686
M5,Other plastic,<50,<50,fiber/filament,H2O2,Mekong5_feb2122_HVS_T0.7_results.csv,5,65,0.2,25,3.3333333333333335,21.666666666666668,0.33333333333333337
M5,Polycarbonates,<50,200-300,fiber/filament,H2O2,Mekong5_feb2122_HVS_T0.7_results.csv,13,65,0.2,65,6.591166666666667,58.408833333333334,0.8985974358974359
M5,Polycarbonates,<50,50-100,fiber/filament,H2O2,Mekong5_feb2122_HVS_T0.7_results.csv,3,65,0.2,15,6.591166666666667,8.408833333333334,0.12936666666666669
M5,Polyethylenes,100-200,100-200,fragment,H2O2,Mekong5_feb2122_HVS_T0.7_results.csv,1,65,0.2,5,3.3333333333333335,1.6666666666666665,0.02564102564102564
M5,Polyethylenes,200-300,200-300,film,H2O2,Mekong5_feb2122_HVS_T0.7_results.csv,1,65,0.2,5,0,5,0.07692307692307693
M5,Polyethylenes,50-100,100-200,film,H2O2,Mekong5_feb2122_HVS_T0.7_results.csv,1,65,0.2,5,0,5,0.07692307692307693
M5,Polyethylenes,50-100,50-100,film,H2O2,Mekong5_feb2122_HVS_T0.7_results.csv,2,65,0.2,10,0,10,0.15384615384615385
M5,Polyethylenes,50-100,50-100,fragment,H2O2,Mekong5_feb2122_HVS_T0.7_results.csv,2,65,0.2,10,3.3333333333333335,6.666666666666666,0.10256410256410256
M5,Polyethylenes,<50,100-200,fiber/filament,H2O2,Mekong5_feb2122_HVS_T0.7_results.csv,1,65,0.2,5,3.3333333333333335,1.6666666666666665,0.02564102564102564
M5,Polyethylenes,<50,50-100,fragment,H2O2,Mekong5_feb2122_HVS_T0.7_results.csv,2,65,0.2,10,3.3333333333333335,6.666666666666666,0.10256410256410256
M5,Polyethylenes,<50,<50,fragment,H2O2,Mekong5_feb2122_HVS_T0.7_results.csv,3,65,0.2,15,3.3333333333333335,11.666666666666666,0.1794871794871795
M5,Polystyrenes,100-200,100-200,fragment,H2O2,Mekong5_feb2122_HVS_T0.7_results.csv,3,65,0.2,15,5.206266666666667,9.793733333333332,0.1506728205128205
M5,Polystyrenes,50-100,50-100,film,H2O2,Mekong5_feb2122_HVS_T0.7_results.csv,1,65,0.2,5,0,5,0.07692307692307693
M5,Polystyrenes,<50,<50,fragment,H2O2,Mekong5_feb2122_HVS_T0.7_results.csv,7,65,0.2,35,5.206266666666667,29.793733333333332,0.4583651282051282
M6,Other plastic,<50,100-200,fiber/filament,H2O2,Mekong4_Feb2022_HVS_100um_derivative_beta_T0.7_results.csv,2,45,0.2,10,3.3333333333333335,6.666666666666666,0.14814814814814814
M6,Other plastic,<50,300-400,fiber/filament,H2O2,Mekong4_Feb2022_HVS_100um_derivative_beta_T0.7_results.csv,2,45,0.2,10,3.3333333333333335,6.666666666666666,0.14814814814814814
M6,Other plastic,<50,50-100,fiber/filament,H2O2,Mekong4_Feb2022_HVS_100um_derivative_beta_T0.7_results.csv,2,45,0.2,10,3.3333333333333335,6.666666666666666,0.14814814814814814
M6,Other plastic,<50,600-700,fiber/filament,H2O2,Mekong4_Feb2022_HVS_100um_derivative_beta_T0.7_results.csv,1,45,0.2,5,3.3333333333333335,1.6666666666666665,0.037037037037037035
M6,Polypropylene,100-200,100-200,film,H2O2,Mekong4_Feb2022_HVS_100um_derivative_beta_T0.7_results.csv,1,45,0.2,5,0,5,0.1111111111111111
M6,Polypropylene,100-200,200-300,fragment,H2O2,Mekong4_Feb2022_HVS_100um_derivative_beta_T0.7_results.csv,2,45,0.2,10,6.111110282222029,3.888889717777971,0.08641977150617713
M6,Polypropylene,200-300,100-200,film,H2O2,Mekong4_Feb2022_HVS_100um_derivative_beta_T0.7_results.csv,1,45,0.2,5,0,5,0.1111111111111111
M6,Polypropylene,50-100,100-200,film,H2O2,Mekong4_Feb2022_HVS_100um_derivative_beta_T0.7_results.csv,1,45,0.2,5,0,5,0.1111111111111111
M6,Polypropylene,50-100,50-100,fragment,H2O2,Mekong4_Feb2022_HVS_100um_derivative_beta_T0.7_results.csv,2,45,0.2,10,6.111110282222029,3.888889717777971,0.08641977150617713
M6,Polypropylene,<50,100-200,fiber/filament,H2O2,Mekong4_Feb2022_HVS_100um_derivative_beta_T0.7_results.csv,4,45,0.2,20,0,20,0.4444444444444444
M6,Polypropylene,<50,50-100,fiber/filament,H2O2,Mekong4_Feb2022_HVS_100um_derivative_beta_T0.7_results.csv,2,45,0.2,10,0,10,0.2222222222222222
M6,Polypropylene,<50,<50,fragment,H2O2,Mekong4_Feb2022_HVS_100um_derivative_beta_T0.7_results.csv,3,45,0.2,15,6.111110282222029,8.888889717777971,0.19753088261728824
M6,Polypropylene,<50,<50,sphere/spheroid,H2O2,Mekong4_Feb2022_HVS_100um_derivative_beta_T0.7_results.csv,2,45,0.2,10,0,10,0.2222222222222222
M7,Polypropylene,<50,200-300,fiber/filament,H2O2,mekong1_Feb1522_HVS_100um_01_derivative_beta_T0.7_results.csv,1,33,0.2,5,0,5,0.15151515151515152
M7,Polypropylene,<50,50-100,film,H2O2,mekong1_Feb1522_HVS_100um_01_derivative_beta_T0.7_results.csv,1,33,0.2,5,0,5,0.15151515151515152
M7,Polypropylene,<50,<50,fragment,H2O2,mekong1_Feb1522_HVS_100um_01_derivative_beta_T0.7_results.csv,2,33,0.2,10,6.111110282222029,3.888889717777971,0.11784514296296882
